rating_avg,pages,author_followers
4.28,320 pages,3914
4.01,339 pages,5921
4.04,400 pages,82
4.04,633 pages,24k
3.93,328 pages,9957
3.86,392 pages,17.7k
4.13,22 pages,5
3.82,272 pages,431
4.24,343 pages,413
3.94,159 pages,7
4.21,216 pages,2610
3.84,ebook,173
4.12,271 pages,284k
4.01,208 pages,15.9k
4.45,32 pages,4861
3.79,392 pages,4371
3.93,336 pages,6225
3.77,260 pages,72
4.11,306 pages,1541
3.9,228 pages,331
3.93,277 pages,811
3.8,263 pages,1595
4.11,145 pages,1281
4.14,360 pages,121k
3.21,96 pages,20
3.78,372 pages,238
4.53,364 pages,1962
4.34,408 pages,4085
3.89,384 pages,3119
3.62,239 pages,3030
3.77,399 pages,6449
3.89,351 pages,18
3.87,304 pages,648
4.08,328 pages,48.3k
3.76,261 pages,129
4.71,260 pages,6
4.14,377 pages,109k
4.58,652 pages,225k
4.26,ebook,39
3.89,361 pages,68.1k
3.8,470 pages,1642
3.74,384 pages,372
4.08,396 pages,16k
4.24,245 pages,18.1k
4.02,260 pages,4685
3.62,376 pages,3149
4.14,356 pages,140
4.07,296 pages,2147
3.52,378 pages,392
4.1,364 pages,22.5k
4.26,784 pages,3856
3.85,326 pages,2772
3.38,356 pages,1010
3.67,148 pages,916
3.94,336 pages,5552
4.45,285 pages,3757
4.11,291 pages,28.5k
4.13,289 pages,85.9k
4.27,558 pages,4885
3.98,10 pages,2607
4.6,336 pages,101
4.32,288 pages,113
3.5,304 pages,1443
3.61,240 pages,962
3.75,397 pages,347
4.18,183 pages,84
4.01,203 pages,14.5k
4.38,20 pages,435
4.26,560 pages,125k
5.0,182 pages,book1
3.77,40 pages,26
4.14,516 pages,14.9k
4.03,136 pages,232
3.98,352 pages,427
3.93,125 pages,61
4.23,384 pages,22.6k
2.6,243 pages,1
4.02,278 pages,13.4k
5.0,231 pages,book
3.58,416 pages,1699
4.3,385 pages,817
3.75,Paperback,1
3.59,281 pages,9548
3.82,472 pages,7
3.9,292 pages,13.4k
4.08,318 pages,3608
4.56,385 pages,508
3.57,342 pages,4597
4.0,279 pages,16.1k
3.38,336 pages,3759
3.94,317 pages,295
4.18,402 pages,8663
4.11,381 pages,28.5k
4.13,262 pages,8095
4.3,709 pages,7395
4.42,316 pages,157
4.0,208 pages,20.7k
3.87,318 pages,9908
3.69,375 pages,5281
3.9,368 pages,3581
3.74,340 pages,17
3.98,331 pages,38.4k
4.33,177 pages,83
4.16,240 pages,111
3.84,285 pages,58
4.0,416 pages,42.5k
3.93,354 pages,2261
3.91,228 pages,250k
3.9,317 pages,4003
3.97,478 pages,50.8k
3.83,282 pages,6134
3.87,385 pages,80.4k
3.7,307 pages,77.6k
4.12,176 pages,9
3.67,117 pages,1
4.07,298 pages,230
3.76,258 pages,793
3.49,250 pages,21
3.93,368 pages,202
3.68,175 pages,35.8k
5.0,ebook,12
4.14,240 pages,42.3k
3.52,411 pages,815
3.88,307 pages,14.9k
4.07,268 pages,1747
4.1,40 pages,39
3.45,Hardcover,163
4.07,72 pages,25.1k
3.87,424 pages,8241
3.88,256 pages,67
3.83,288 pages,88
3.87,133 pages,17
3.76,224 pages,29.1k
3.64,293 pages,15
3.97,294 pages,63
3.61,201 pages,4
4.06,368 pages,20.7k
2.29,298 pages,3
